,Unnamed: 0,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
197,197,6.37872676018219e+18,1.23766773451057e+18,19.0141620635986,17.923427581787102,17.5715579986572,17.4243335723877,17.387142181396502,0.09275434166193,0.072273552417755,0.049998510628939,0.037154253572226,0.027635937556624003,20.3375129699707,20.473941802978498,0,0.003868617583066,1.3233509063721,2.4140853881836,2.7659549713135,2.9131793975830003,2.9503707885742,1.0907344818115,1.4426040649414,1.5898284912109,1.6270198822021005,0.35186958312990096,0.499094009399403,0.5362854003906,0.14722442626950302,0.18441581726070005,0.037191390991197,-0.136428833007798,-1.4597797393799,-2.5505142211914,-2.9023838043213,-3.0496082305908,-3.086799621582,0
358,358,6.37872674622354e+18,1.23766791113225e+18,19.2973251342773,17.8477001190186,17.4174633026123,17.245628356933597,17.2509059906006,0.08116880059242301,0.063246183097363,0.043753415346146005,0.032513476908207,0.024184053763747,20.908311843872106,22.370370864868196,0,0.0034020608291029995,1.6109867095948005,3.0606117248535,3.4908485412598,3.6626834869385,3.6574058532715,1.4496250152587,1.879861831665,2.0516967773437,2.0464191436767,0.4302368164063,0.602071762085004,0.5967941284180011,0.171834945678704,0.166557312011701,-0.005277633667003,-1.4620590209960902,-3.07304573059089,-4.5226707458496,-4.9529075622559,-5.1247425079346,-5.1194648742675986,0
400,400,6.38263218682934e+18,1.23766828854614e+18,22.7731609344482,22.045595169067397,21.934778213501,22.068431854248,21.6050910949707,0.155689790844917,0.12131243199110002,0.083923377096653,0.062364064157009014,0.046387404203415,22.365802764892607,21.982603073120107,0,0.003782427869737,-0.40735816955559706,0.320207595825206,0.4310245513916021,0.297370910644602,0.760711669921903,0.7275657653808031,0.838382720947198,0.7047290802001991,1.1680698394775,0.11081695556639598,-0.022836685180604003,0.440504074096698,-0.133653640746999,0.329687118530302,0.463340759277301,0.3831996917725,0.790557861328097,0.062992095947294,-0.047824859619102,0.085828781127898,-0.37751197814940296,0
484,484,6.37904344100583e+18,1.23766849577989e+18,18.5480785369873,17.0390529632568,16.6439590454102,16.542781829834002,17.171758651733402,0.108816437423229,0.08478903025388701,0.05865665897727,0.043588183820248,0.032421600073576,19.5342617034912,19.624197006225604,0,0.003580128774047,0.9861831665038991,2.4952087402344,2.890302658081,2.9914798736572004,2.3625030517578,1.5090255737305,1.9041194915771005,2.0052967071533,1.3763198852539,0.395093917846602,0.496271133422798,-0.132705688476602,0.10117721557619698,-0.5277996063232029,-0.6289768218994001,-0.089935302734404,-1.0761184692383,-2.5851440429688,-2.9802379608154,-3.0814151763916,-2.4524383544922004,0
593,593,2.41667611782179e+18,1.2376785959374e+18,22.721797943115202,21.7276630401611,21.6291809082031,22.040636062622102,21.184371948242198,0.19756892323494,0.153944373130798,0.106498003005981,0.07913942635059401,0.058865197002888,23.0339508056641,23.23020362854,0,0.003359018126503,0.31215286254889896,1.306287765503,1.404769897461,0.9933147430419992,1.8495788574219,0.994134902954102,1.0926170349121,0.6811618804931,1.537425994873,0.098482131958001,-0.31297302246100106,0.5432910919189029,-0.411455154419002,0.444808959960902,0.8562641143799041,-0.196252822875898,-0.508405685424798,-1.5025405883789,-1.6010227203369,-1.1895675659179,-2.0458316802978,0
1462,1462,6.38038041708043e+18,1.23767932232178e+18,21.8526821136475,21.6084060668945,21.5307769775391,21.568380355835,21.621618270874,0.10109619051218,0.078773468732834,0.05449511855840701,0.040495712310076,0.030121371150017007,21.7666187286377,22.9503860473633,0,0.003886396763846,-0.086063385009801,0.1582126617432,0.23584175109859695,0.198238372802699,0.14500045776370002,0.244276046753001,0.32190513610839805,0.2843017578125,0.231063842773501,0.077629089355398,0.040025711059499,-0.013212203979498998,-0.037603378295899,-0.090841293334897,-0.053237915038999,-1.1837673187256,-1.0977039337158,-1.3419799804688,-1.4196090698242,-1.3820056915283,-1.3287677764893,1
1964,1964,3.05340769951339e+18,1.23767950325468e+18,21.7680015563965,21.6703701019287,21.589786529541,22.093729019165,22.738208770752,0.236580222845078,0.184341713786125,0.127526745200157,0.094766035676003,0.070488519966602,22.264343261718803,22.7125949859619,0,0.003800897859037001,0.496341705322305,0.593973159790103,0.674556732177802,0.17061424255380306,-0.473865509033196,0.097631454467798,0.17821502685549698,-0.32572746276850106,-0.970207214355501,0.080583572387699,-0.4233589172363,-1.0678386688233,-0.503942489623999,-1.148422241211,-0.644479751586999,-0.44825172424309706,-0.9445934295654008,-1.0422248840332,-1.1228084564209,-0.6188659667969,0.0256137847901,0
2071,2071,6.38094336810759e+18,1.23767950486195e+18,21.4554386138916,21.341594696044897,21.475793838501,21.5107307434082,21.3102779388428,0.126502394676209,0.09856981039047198,0.068190142512322,0.050672583281994005,0.037691090255976,21.9134140014648,21.695358276367198,0,0.003583843819797,0.4579753875732,0.5718193054199039,0.4376201629638,0.4026832580566021,0.6031360626220029,0.113843917846705,-0.0203552246094,-0.055292129516598,0.145160675048803,-0.134199142456104,-0.169136047363303,0.031316757202099,-0.034936904907198,0.165515899658203,0.20045280456540104,0.218055725097603,-0.239919662475597,-0.35376358032230104,-0.219564437866197,-0.18462753295899895,-0.3850803375244001,0
2842,2842,6.37897303575442e+18,1.23765076185973e+18,23.6735649108887,22.0207176208496,22.118238449096694,22.1594390869141,23.014928817749,0.089324578642845,0.069601103663445,0.048149723559618,0.035780403763056,0.026614047586918,21.57887840271,21.3472747802734,0,0.0038005230017009992,-2.0946865081787,-0.441839218139599,-0.539360046386697,-0.5805606842041021,-1.436050415039,1.6528472900391,1.555326461792,1.5141258239746,0.6586360931397021,-0.097520828247099,-0.13872146606450306,-0.9942111968994,-0.041200637817404,-0.8966903686523008,-0.855489730834897,0.231603622436602,2.3262901306153,0.6734428405761999,0.7709636688232991,0.8121643066407029,1.6676540374756,1
3916,3916,6.37872676018219e+18,1.23766773451057e+18,19.0141620635986,17.923427581787102,17.5715579986572,17.4243335723877,17.387142181396502,0.09275434166193,0.072273552417755,0.049998510628939,0.037154253572226,0.027635937556624003,20.3375129699707,20.473941802978498,0,0.003868617583066,1.3233509063721,2.4140853881836,2.7659549713135,2.9131793975830003,2.9503707885742,1.0907344818115,1.4426040649414,1.5898284912109,1.6270198822021005,0.35186958312990096,0.499094009399403,0.5362854003906,0.14722442626950302,0.18441581726070005,0.037191390991197,-0.136428833007798,-1.4597797393799,-2.5505142211914,-2.9023838043213,-3.0496082305908,-3.086799621582,0
4209,4209,6.37872674622354e+18,1.23766791113225e+18,19.2973251342773,17.8477001190186,17.4174633026123,17.245628356933597,17.2509059906006,0.08116880059242301,0.063246183097363,0.043753415346146005,0.032513476908207,0.024184053763747,20.908311843872106,22.370370864868196,0,0.0034020608291029995,1.6109867095948005,3.0606117248535,3.4908485412598,3.6626834869385,3.6574058532715,1.4496250152587,1.879861831665,2.0516967773437,2.0464191436767,0.4302368164063,0.602071762085004,0.5967941284180011,0.171834945678704,0.166557312011701,-0.005277633667003,-1.4620590209960902,-3.07304573059089,-4.5226707458496,-4.9529075622559,-5.1247425079346,-5.1194648742675986,0
